id,title,artist,album,duration,release_date,label,link,lyrics_author,music_author,created_at,genre_1,genre_2,genre_3,genre_4,genre_5,parent_link,source_type,yandex_id,album_processed,chart_position,music_author_canonical,lyrics_author_canonical,author_check_status
27,Любовь без памяти,Баста,Баста 3,03:29,31.03.2014 (2010),Баста,https://music.yandex.ru/album/61945/track/48591641,,Баста,2025-12-16 05:20:14.327546+00,rusrap,,,,,,,48591641,true,,,,pending
29,So Good,Стен,Точка,03:42,31.12.2012 (2013),Content Chaos,https://music.yandex.ru/album/3162266/track/26554821,,,2025-12-16 05:22:40.073631+00,rusrap,,,,,,,26554821,true,,,,pending
30,Вся жизнь впереди,ВИА Самоцветы,Лучшие песни,03:09,06.11.2025 (2025),ДЖЕМ,https://music.yandex.ru/track/83748383,Харитонов Владимир Гаврилович,Тухманов Давид Фёдорович,2025-12-16 07:38:54.0544+00,pop,rusrock,,,,,,83748383,true,,,,pending
31,Город нашей славы,Лев Лещенко,Поёт песни Александры Пахмутовой,03:44,31.12.2024 (2025),Лев Лещенко,https://music.yandex.ru/track/18291076,Добронравов Николай Николаевич,Пахмутова Александра Николаевна,2025-12-16 09:02:11.309855+00,rusestrada,,,,,,rusestrada,18291076,true,,,,pending
32,Детства последний звонок,ВИА Пламя,"Может, я тебя выдумал",03:49,22.12.1979 (1979),Creative Media,https://music.yandex.ru/track/75452143,Пляцковский Михаил,Бабаджанян Авно,2025-12-16 09:02:52.101339+00,rusestrada,,,,,,rusestrada,75452143,true,,,,pending
33,На два дня,ВИА Пламя,Зацветает краснотал,03:17,11.02.2020 (2020),Creative Media,https://music.yandex.ru/track/68950539,Рубальская Лариса Алексеевна,Березин Сергей,2025-12-16 09:03:32.673287+00,rusestrada,,,,,,rusestrada,68950539,true,,,,pending
34,Зимы и вёсны,Ариэль,"ВИА ""Ариэль""",03:08,2008,"АО ""Фирма Мелодия""",https://music.yandex.ru/track/119251653,Ярушин Валерий,Ярушин Валерий,2025-12-16 09:03:53.026973+00,rusestrada,,,,,,rusestrada,119251653,true,,,,pending
35,Лето,Зоопарк,Лето,03:03,17.05.2018 (2018),Первое музыкальное,https://music.yandex.ru/track/41230047,Науменко М.В.,Науменко М.В.,2025-12-16 09:05:59.849498+00,rusrock,,,,,,,41230047,true,,,,pending
36,Д.К.Данс (мажорный рок-н-ролл),Зоопарк,Лето,03:20,17.05.2018 (2018),Первое музыкальное,https://music.yandex.ru/album/5389012/track/41230048,Науменко М.В.,Науменко М.В.,2025-12-16 09:06:30.239054+00,rusrock,,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,,41230048,true,,,,pending
37,Песня про песню,Авиа,Песни о природе и любви,07:21,12.01.1995 (1995),Союз Мьюзик,https://music.yandex.ru/track/13276093,Гусев Н.,Авиа,2025-12-16 09:07:39.197541+00,rusrock,ska,,,,,,13276093,true,,,,pending
38,Плохая репутация,Странные игры,Метаморфозы,05:03,13.01.2015 (1983),Balt Music Jsc fka BOMBA PITER,https://music.yandex.ru/track/2065390,,,2025-12-16 09:08:16.2415+00,ska,,,,,,,2065390,true,,,,pending
39,"Прощай, детка!",Зоопарк,Blues de Moscou. Часть 3,03:17,31.12.2009 (1981),Первое музыкальное,https://music.yandex.ru/track/23506209,Науменко М.В.,Науменко М.В.,2025-12-16 09:08:26.695113+00,rusrock,,,,,,,23506209,true,,,,pending
40,Хорошие девчата,Вокальный квартет «Улыбка»,Новогодний Голубой огонёк,01:35,13.12.2021 (2021),Music RT,https://music.yandex.ru/track/107790590,Матусовский Михаил,Пахмутова Александра Николаевна,2025-12-16 09:10:32.69813+00,pop,folk,fairytales,,,,,107790590,true,,,,pending
41,Небо моё,"Валерий Ободзинский, Вокальный квартет «Улыбка»",Лучшие песни,04:46,04.04.2021 (2021),MusicRT,https://music.yandex.ru/album/14530216/track/79758534,Дербенёв Леонид Петрович,Зацепин Александр Сергеевич,2025-12-16 09:48:10.538287+00,rusestrada,pop,folk,fairytales,,,rusestrada,79758534,true,,,,pending
42,Романс,Сплин,Реверсивная хроника событий,03:25,09.01.2004 (2004),Сплин,https://music.yandex.ru/track/34139530,Васильев Александр,Васильев Александр,2025-12-16 16:15:30.837329+00,rusrock,,,,,,,34139530,true,,,,pending
43,Hands,Rival Consoles,Overflow,05:18,02.12.2021 (2021),Erased Tapes,https://music.yandex.ru/track/91285446,,Ryan Lee West,2025-12-16 16:16:21.089844+00,techno,experimental,,,,,,91285446,true,,,,pending
44,Improvisation in E minor,Rival Consoles,Improvisation in E minor,02:33,25.03.2021 (2021),Erased Tapes,https://music.yandex.ru/track/79453947,,Ryan Lee West,2025-12-16 16:17:20.788058+00,techno,,,,,,,79453947,true,,,,pending
45,One in a Million,Zoraah,Golden Reverie (Act I),06:04,01.03.2022 (2022),3743689 Records DK,https://music.yandex.ru/track/102553202,,Nic David Zangrilli,2025-12-16 16:25:39.338384+00,indie,,,,,,,102553202,true,,,,pending
46,Весна,Сергей Старостин,Проще простого,09:55,31.12.2003 (2004),Sketis,https://music.yandex.ru/album/2956980/track/34998572,Народное,"Старостин Сергей, Mario Kaldararu",2025-12-16 16:27:25.797836+00,rusfolk,,,,,,,34998572,true,,,,pending
47,Gate 3,Emptyset,Emptyset,03:22,31.10.2009 (2009),"Multiverse, Subtext",https://music.yandex.ru/track/46172617,"James Ginzburg, Paul Purgas","James Ginzburg, Paul Purgas",2025-12-16 16:29:01.672893+00,electronics,experimental,,,,,,46172617,true,,,,pending
48,Monster,Rival Consoles,Overflow,10:10,02.12.2021 (2021),Erased Tapes,https://music.yandex.ru/track/91271024,,Ryan Lee West,2025-12-16 16:32:50.829386+00,techno,experimental,,,,,,91271024,true,,,,pending
49,Марш десантников,"Валерий Ободзинский, Ариэль",Лучшие песни,02:34,04.04.2021 (2021),MusicRT,https://music.yandex.ru/album/14530216/track/79758531,,"Зацепин Александр Сергеевич, Дербенёв Леонид Петрович",2025-12-16 21:01:04.166409+00,rusestrada,,,,,,rusestrada,79758531,true,,,,pending
50,Твист,"Государственный симфонический оркестр кинематографии СССР, Александр Зацепин",Операция Ы или Новые приключения Шурика,02:14,2014,Creative Media,https://music.yandex.ru/album/81568/track/733407,Зацепин Александр Сергеевич,Зацепин Александр Сергеевич,2025-12-16 21:02:53.276299+00,soundtrack,soundtrack,pop,,,,,733407,true,,,,pending
51,Увертюра,"Государственный симфонический оркестр кинематографии СССР, Александр Зацепин",Иван Васильевич меняет профессию,02:05,2014,Creative Media,https://music.yandex.ru/album/23757780/track/107980637,Зацепин Александр Сергеевич,Зацепин Александр Сергеевич,2025-12-16 21:04:09.887749+00,soundtrack,films,classical,pop,,,,107980637,true,,,,pending
52,Любовь,Александр Зацепин,"Песни из кинофильма ""Спортлото-82""",02:43,2014,Creative Media,https://music.yandex.ru/album/23758116/track/107975536,Шаферан Игорь Давыдович,Зацепин Александр Сергеевич,2025-12-16 21:04:43.539827+00,soundtrack,soundtrack,pop,,,,,107975536,true,,,,pending
53,Пикник,Эдуард Артемьев,Инструментальные кинохиты,03:06,18.11.2021 (2021),Creative Media,https://music.yandex.ru/album/81702/track/734396,,Артемьев Эдуард,2025-12-16 21:05:28.097075+00,soundtrack,pop,films,,,,,734396,true,,,,pending
54,Белеет мой парус,"Андрей Миронов, Геннадий Гладков",Остров невезения,03:01,13.03.2023 (2023),Creative Media,https://music.yandex.ru/album/35390927/track/112035572,Ким Юлий,Гладков Геннадий,2025-12-16 21:07:18.538622+00,pop,fiction,folk,films,soundtrack,,,112035572,true,,,,pending
55,"Ах, какая жалость","Татьяна Рузавина, Геннадий Гладков",Афоня рубль должен. Концерт по заявкам сантехников СССР,02:10,07.12.2022 (2022),Music RT,https://music.yandex.ru/album/24306888/track/109733677,Ким Юлий,Гладков Геннадий,2025-12-16 21:07:50.267908+00,ruspop,rusfolk,children,films,pop,,,109733677,true,,,,pending
56,Ты - человек,"Оркестр Геннадия Гладкова, Юрий Барков, Карина Аванесова",Юрий Энтин. Прекрасное далёко,02:15,2025,Shining Sioux,"https://music.yandex.ru/album/38184654/track/142824874

 #Тычеловек
---
2. 🎵 Оркестр Геннадия Гладкова, Карина Аванесова - Прекрасное далёко (02:58)
🔗 https://music.yandex.ru/album/38184654/track/142824880

 #Прекрасноедалёко
---
3. 🎵 Оркестр Геннадия Гладкова, Карина Аванесова - Крылатые качели (03:16)
🔗 https://music.yandex.ru/album/38184654/track/142824883",Энтин Юрий,Крылатов Евгений,2025-12-17 08:55:08.982096+00,soundtrack,shanson,vocal,classical,,,,142824874,true,,,,pending
58,Прекрасное далёко,"Оркестр Геннадия Гладкова, Карина Аванесова",Юрий Энтин. Прекрасное далёко,02:58,09.09.2025 (2025),Shining Sioux,https://music.yandex.ru/album/38184654/track/142824880,Энтин Юрий,Крылатов Евгений,2025-12-17 09:22:16.687172+00,soundtrack,shanson,,,,,,142824880,true,,,,pending
60,Крылатые качели,"Оркестр Геннадия Гладкова, Карина Аванесова",Юрий Энтин. Прекрасное далёко,03:16,09.09.2025 (2025),Shining Sioux,https://music.yandex.ru/album/38184654/track/142824883,Энтин Юрий,Крылатов Евгений,2025-12-17 09:22:57.305336+00,soundtrack,shanson,,,,,,142824883,true,,,,pending
62,Содержанка,Александр Новиков,Шансоньетка,03:34,1995,М2,https://music.yandex.ru/track/557212,,,2025-12-17 09:30:25.262011+00,shanson,biographyandmemoirs,estrada,,,,,557212,true,,,,pending
63,Песнь о честном менте,Александр Новиков,В захолустном ресторане,03:22,1993,М2,https://music.yandex.ru/track/557016,,,2025-12-17 09:31:53.429886+00,shanson,biographyandmemoirs,estrada,,,,,557016,true,,,,pending
69,"Песня Суок (Из м/ф ""Разлучённые"")","Оркестр Геннадия Гладкова, Карина Аванесова, Геннадий Гладков","Песня Суок (Из м/ф ""Разлучённые"")",02:48,03.12.2025 (2025),Shining Sioux,https://music.yandex.ru/album/39675542/track/146067302,Самойлов Давид,Гладков Геннадий,2025-12-17 09:40:12.435194+00,soundtrack,shanson,films,pop,,,,146067302,true,,,,pending
70,Твой поезд,"Карина Аванесова, Юрий Барков, Оркестр Геннадия Гладкова, Геннадий Гладков",Твой поезд. Геннадий Гладков,02:23,2025,Shining Sioux,https://music.yandex.ru/album/39164387/track/145110464,Потоцкая Марина,Гладков Геннадий,2025-12-17 09:41:47.657984+00,shanson,soundtrack,vocal,classical,films,,,145110464,true,,,,pending
71,Песнь Офелии,"Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",03:56,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987271,Без слов,Метнер Николай Карлович,2025-12-17 09:42:27.73317+00,classical,classicalmasterpieces,,,,,,144987271,true,,,,pending
72,Марш паладина,"Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",04:25,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987272,Без слов,Метнер Николай Карлович,2025-12-17 09:42:31.449982+00,classical,classicalmasterpieces,,,,,,144987272,true,,,,pending
73,"Четыре песни из ""Двенадцати песен И. В. фон Гёте"", ""Vor Gericht"", op. 15 №6","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",03:27,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987273,Иоганн Вольфганг фон Гёте,Метнер Николай Карлович,2025-12-17 09:42:36.868959+00,classical,classicalmasterpieces,,,,,,144987273,true,,,,pending
74,"Четыре песни из ""Двенадцати песен И. В. фон Гёте"", ""Meeresstille"" op. 15 №7","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",03:03,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987274,Иоганн Вольфганг фон Гёте,Метнер Николай Карлович,2025-12-17 09:42:40.86775+00,classical,classicalmasterpieces,,,,,,144987274,true,,,,pending
75,"Четыре песни из ""Двенадцати песен И. В. фон Гёте"", ""Glückliche Fahrt"", op. 15 №8","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",01:26,2025,Shining Sioux,https://music.yandex.ru/track/144987275,Иоганн Вольфганг фон Гёте,Метнер Николай Карлович,2025-12-17 09:43:10.085156+00,classical,classicalmasterpieces,,,,,,144987275,true,,,,pending
76,"Четыре песни из ""Двенадцати песен И. В. фон Гёте"", ""Der untreue Knabe"", op. 15 №10","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",04:03,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987276,Иоганн Вольфганг фон Гёте,Метнер Николай Карлович,2025-12-17 09:43:17.414421+00,classical,classicalmasterpieces,,,,,,144987276,true,,,,pending
77,Соната g-moll op. 22,"Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",17:14,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987277,Без слов,Метнер Николай Карлович,2025-12-17 09:43:22.140533+00,classical,classicalmasterpieces,,,,,,144987277,true,,,,pending
78,"Соната-сказка op. 25, Allegro abbandonamente","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",05:23,2025,Shining Sioux,https://music.yandex.ru/track/144987278,Без слов,Метнер Николай Карлович,2025-12-17 09:43:27.069194+00,classical,classicalmasterpieces,,,,,,144987278,true,,,,pending
79,Дорога без конца,Альберт Асадуллин,Дорога без конца,05:02,24.08.2014 (2014),Gamma Music,https://music.yandex.ru/track/36812182,Калинина Т.,Куприянова С.,2025-12-17 09:55:02.249454+00,rusestrada,,,,,,rusestrada,36812182,true,,,,pending
80,Снегопад,"Нани Брегвадзе, Эстрадный оркестр п/у Мелика Мависакаляна",Песенки под ёлочку. Выпуск 1,04:38,19.11.2020 (2020),"АО ""Фирма Мелодия""",https://music.yandex.ru/track/1706443,Рустайкис Алла,Экимян Алексей,2025-12-17 09:55:06.460059+00,pop,ruspop,folk,,,,,1706443,true,,,,pending
81,Арго,ВИА «Иверия»,Летняя мелодия,04:11,02.06.2016 (2016),"АО ""Фирма Мелодия""",https://music.yandex.ru/track/67993724,Ряшенцев Юрий,Басилая Александр,2025-12-17 09:55:18.125077+00,rusestrada,ruspop,,,,,rusestrada,67993724,true,,,,pending
82,Завируха,ВИА «Верасы»,Песенки под ёлочку. Выпуск 1,04:13,19.11.2020 (2020),"АО ""Фирма Мелодия""",https://music.yandex.ru/track/1707426,Буравкин Геннадий,Ханок Эдуард,2025-12-17 09:55:21.501977+00,rusestrada,pop,,,,,rusestrada,1707426,true,,,,pending
83,"Прости, Земля",Земляне,"ВИА ""Земляне""",05:15,16.11.2023 (2023),"АО ""Фирма Мелодия""",https://music.yandex.ru/track/113016843,Дербенёв Леонид Петрович,Добрынин Вячеслав Григорьевич,2025-12-17 09:55:43.371073+00,rusestrada,,,,,,rusestrada,113016843,true,,,,pending
84,В краю магнолий,Ариэль,Дорога длиной в 35...,03:45,2002,Electronic Music Distribution,https://music.yandex.ru/track/20220545,"Марцинкевич Юрий Платонович, Марцинкевич Юрий Платонович, Марцинкевич Юрий Платонович","Морозов А., Морозов А., Морозов А.",2025-12-17 09:56:44.996856+00,rusestrada,,,,,,rusestrada,20220545,true,,,,pending
85,Чудо-остров,"Александр Барыкин, Группа Карнавал",Карусель,04:23,31.12.1981 (1982),ДЖЕМ,https://music.yandex.ru/album/13750376/track/77513423,Жагун-Линник Павел,Барыкин Александр,2025-12-17 09:57:51.714433+00,rusrock,ruspop,pop,rock,,,,77513423,true,,,,pending
86,Музыка Невы,Круиз,"Послушай, человек",03:37,30.09.1996 (1982),Moroz Records,https://music.yandex.ru/album/5730479/track/43144453,-,-,2025-12-17 10:03:39.697522+00,hardrock,rock,pop,rusrock,folk,,,43144453,true,,,,pending
87,Гуляка,Альфа,Легенды русского рока: Альфа,03:20,31.05.2000 (2000),Moroz Records,https://music.yandex.ru/album/5870728/track/43939685,Есенин Сергей Александрович,"Сарычев Сергей, Сарычев Сергей, Есенин Сергей Александрович",2025-12-17 10:06:16.723293+00,rusrock,,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,,43939685,true,,,,pending
88,Ещё вчера,Владимир Кузьмин,Антология 19: Моя любовь,03:37,31.12.2002 (2003),Первое музыкальное,https://music.yandex.ru/album/4092155/track/33442762,Артемьева Татьяна,Кузьмин В.Б.,2025-12-17 10:08:34.920734+00,rusestrada,,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,rusestrada,33442762,true,,,,pending
89,Каракум,Круг,Сингл,00:00,Не указан,-,https://music.yandex.ru/album/16123038/track/81516660,"Монастырев А.А., Писаржевская О.О.",Саруханов Игорь,2025-12-17 10:09:50.435006+00,,,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,,81516660,true,,,,pending
90,Ветер перемен,"Павел Смеян, Татьяна Воронина","«Мэри Поппинс, до свидания»",03:59,1984,-,https://music.yandex.ru/album/91137/track/6098551,Наум Олев,Дунаевский М.,2025-12-17 10:10:42.959026+00,rusestrada,films,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,rusestrada,6098551,true,,,,pending
91,Лягу-прилягу,Сябры,"Анатоль Ярмоленко и Сябры. Избранное, 2009г.",04:42,31.12.2008 (2009),Ансамбль СЯБРЫ,https://music.yandex.ru/album/3342571/track/28002737,,,2025-12-17 10:11:28.802296+00,estrada,,,,,https://music.yandex.ru/users/denisfm13/playlists/1076,,28002737,true,,,,pending
92,Девочка в баре,"Юрий Лоза, Примус",Путешествие в рок-н-ролл,03:35,31.12.1982 (1983),Первое музыкальное,https://music.yandex.ru/album/23758537/track/107984975,Лоза Юрий,Лоза Юрий,2025-12-17 10:11:59.62179+00,rusestrada,rock,pop,,,https://music.yandex.ru/users/denisfm13/playlists/1076,rusestrada,107984975,true,,,,pending
93,Как женился Джон,ВИА Самоцветы,Прогноз погоды,03:16,31.12.1981 (1982),ДЖЕМ,https://music.yandex.ru/track/146243516,Сауткин Валерий,"Маликов Юрий, Пресняков Владимир",2025-12-17 10:12:49.998132+00,pop,rusestrada,rusrock,,,,,146243516,true,,,,pending
96,"""Шесть стихотворений А. Пушкина"", ""Ангел"", op. 36 №1","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",02:08,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987282,Пушкин А.С.,Метнер Николай Карлович,2025-12-17 12:09:33.494837+00,classical,classicalmasterpieces,,,,,,144987282,true,,,,pending
97,"""Шесть стихотворений А. Пушкина"", ""Цветок"", op. 36 №2","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",02:30,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987283,Пушкин А.С.,Метнер Николай Карлович,2025-12-17 12:10:07.210644+00,classical,classicalmasterpieces,,,,,,144987283,true,,,,pending
98,"""Шесть стихотворений А. Пушкина"", ""Испанский романс"", op. 36 №4","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",02:28,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987287,Пушкин А.С.,Метнер Николай Карлович,2025-12-17 12:10:52.560379+00,classical,classicalmasterpieces,,,,,,144987287,true,,,,pending
99,"""Шесть стихотворений А. Пушкина"", ""Ночь"", op. 36 №5","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",01:51,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987288,Пушкин А.С.,Метнер Николай Карлович,2025-12-17 12:11:01.711441+00,classical,classicalmasterpieces,,,,,,144987288,true,,,,pending
100,"""Шесть стихотворений А. Пушкина"", ""Арион"", op. 36 №6","Андрей Неганов, Анастасия Кулакова, Николай Карлович Метнер","Николай Метнер. СКАЗКИ, СОНАТЫ, РОМАНСЫ",03:30,08.11.2025 (2025),Shining Sioux,https://music.yandex.ru/track/144987290,Пушкин А.С.,Метнер Николай Карлович,2025-12-17 12:11:12.105299+00,classical,classicalmasterpieces,,,,,,144987290,true,,,,pending
101,Эта осень,"Оркестр Геннадия Гладкова, Карина Аванесова, Леонид Серебренников, Геннадий Гладков",Эта осень. Геннадий Гладков,03:53,22.09.2025 (2025),Shining Sioux,https://music.yandex.ru/track/143285225,Луговой Владимир,Гладков Геннадий,2025-12-17 12:11:33.044929+00,soundtrack,shanson,romances,films,pop,,,143285225,true,,,,pending
102,Преследование (Из к/ф «Сыщик»),Оркестр Геннадия Гладкова,Преследование. Эдуард Артемьев,02:36,22.09.2025 (2025),Shining Sioux,https://music.yandex.ru/track/143264087,Без слов,Артемьев Эдуард,2025-12-17 12:11:43.103149+00,soundtrack,shanson,,,,,,143264087,true,,,,pending
103,"Песня Ивана (Из мюзикла «Иван и Алёна против Дракона, или шиворот-навыворот»)","Юрий Барков, Оркестр Геннадия Гладкова, Геннадий Гладков",Сингл,00:00,Не указан,-,https://music.yandex.ru/track/142828816,Энтин Юрий,Гладков Геннадий,2025-12-17 12:13:51.205746+00,vocal,classical,shanson,soundtrack,films,,,142828816,true,,,,pending
104,Дуэт Эмиля и Эмилии (Из т/ф «Обыкновенное чудо»),"Карина Аванесова, Леонид Серебренников, Оркестр Геннадия Гладкова, Геннадий Гладков","Любовь, как жизнь...",01:52,2025,-,https://music.yandex.ru/track/142828817,Ким Юлий,Гладков Геннадий,2025-12-17 12:14:01.322896+00,shanson,soundtrack,romances,films,pop,,,142828817,true,,,,pending
105,"Тихий марш (Из к/ф «Точка, точка, запятая»)","Леонид Серебренников, Карина Аванесова, Оркестр Геннадия Гладкова, Геннадий Гладков",Сингл,00:00,Не указан,-,https://music.yandex.ru/track/142828818,Ким Юлий,Гладков Геннадий,2025-12-17 12:14:10.38111+00,romances,shanson,soundtrack,films,pop,,,142828818,true,,,,pending
106,Загадочная русская душа (Из к/ф «Чокнутые»),"Юрий Барков, Оркестр Геннадия Гладкова, Геннадий Гладков",Сингл,00:00,Не указан,-,https://music.yandex.ru/track/142828819,Энтин Юрий,Гладков Геннадий,2025-12-17 12:14:19.170019+00,vocal,classical,shanson,soundtrack,films,,,142828819,true,,,,pending
107,Баллада Неле (Из спектакля «Тиль»),"Карина Аванесова, Оркестр Геннадия Гладкова, Геннадий Гладков","Любовь, как жизнь...",02:41,2025,-,https://music.yandex.ru/track/142828820,Ким Юлий,Гладков Геннадий,2025-12-17 12:14:29.906198+00,shanson,soundtrack,films,pop,,,,142828820,true,,,,pending
108,Молитва Луиса (Из т/ф «Дульсинея Тобосская»),"Юрий Барков, Оркестр Геннадия Гладкова, Геннадий Гладков",Сингл,00:00,Не указан,-,https://music.yandex.ru/track/142828821,"Рацер Борис, Константинов Владимир",Гладков Геннадий,2025-12-17 12:14:38.637605+00,vocal,classical,shanson,soundtrack,films,,,142828821,true,,,,pending
109,Не копье пробило грудь (Из спектакля «Дульсинея Тобосская»),"Леонид Серебренников, Оркестр Геннадия Гладкова, Геннадий Гладков",Сингл,00:00,Не указан,-,https://music.yandex.ru/track/142828822,Горбовский Глеб,Гладков Геннадий,2025-12-17 12:14:47.929345+00,romances,soundtrack,shanson,films,pop,,,142828822,true,,,,pending
