Name,,Category,Type,Share settings,Actions
Contemporary R&B,Современный R&B,Genre / R&B,GPT,,
Funk,Фанк,Genre / R&B,GPT,,
Gospel,Госпел,Genre / R&B,GPT,,
Hip-Hop Soul,Хип-хоп соул,Genre / R&B,GPT,,
Neo-Soul,Нео-соул,Genre / R&B,GPT,,
New Jack Swing,Нью-джек-свинг,Genre / R&B,GPT,,
Quiet Storm,Квайет-сторм,Genre / R&B,GPT,,
R&B (Rhythm and Blues),Ритм-энд-блюз (Р&Б),Genre / R&B,GPT,,
Smooth R&B,Смуз R&B,Genre / R&B,GPT,,
Soul,Соул,Genre / R&B,GPT,,
Trap Soul,Трэп-соул,Genre / R&B,GPT,,
Urban Music,Урбан-музыка,Genre / R&B,GPT,,
R&B,Р&Б,Genre / R&B,Default,,
Calypso,Калипсо,Genre / Reggae,GPT,,
Dancehall,Дэнсхолл,Genre / Reggae,GPT,,
Dub,Даб,Genre / Reggae,GPT,,
Dubstep Reggae,Дабстеп-регги,Genre / Reggae,GPT,,
Lovers Rock,Ловерс-рок,Genre / Reggae,GPT,,
Mento,Менто,Genre / Reggae,GPT,,
Ragga,Рагга,Genre / Reggae,GPT,,
Reggae,Регги,Genre / Reggae,GPT,,
Reggaeton,Реггетон,Genre / Reggae,GPT,,
Rocksteady,Рокстеди,Genre / Reggae,GPT,,
Roots Reggae,Рутс-регги,Genre / Reggae,GPT,,
Ska,Ска,Genre / Reggae,GPT,,
Steppers,Степперс,Genre / Reggae,GPT,,
Reggae,Регги,Genre / Reggae,Default,,
Alternative Rock,Альтернативный рок,Genre / Rock,GPT,,
Blues Rock,Блюз-рок,Genre / Rock,GPT,,
Classic Rock,Классический рок,Genre / Rock,GPT,,
Folk Rock,Фолк-рок,Genre / Rock,GPT,,
Garage Rock,Гаражный рок,Genre / Rock,GPT,,
Glam Rock,Глэм-рок,Genre / Rock,GPT,,
Grunge,Гранж,Genre / Rock,GPT,,
Hard Rock,Хард-рок,Genre / Rock,GPT,,
Indie Rock,Инди-рок,Genre / Rock,GPT,,
Industrial Rock,Индастриал-рок,Genre / Rock,GPT,,
Metal,Метал,Genre / Rock,GPT,,
Post-Rock,Пост-рок,Genre / Rock,GPT,,
Progressive Rock,Прогрессив-рок,Genre / Rock,GPT,,
Psychedelic Rock,Психоделический рок,Genre / Rock,GPT,,
Punk Rock,Панк-рок,Genre / Rock,GPT,,
Rock & Roll,Рок-н-ролл,Genre / Rock,GPT,,
Southern Rock,Южный рок,Genre / Rock,GPT,,
Stoner Rock,Стоунер-рок,Genre / Rock,GPT,,
Symphonic Rock,Симфо-рок,Genre / Rock,GPT,,
Rock,Рок,Genre / Rock,Default,,
Acoustic Artist,Акустический исполнитель,Genre / Singer/songwriter,GPT,,
Balladeer,Балладник,Genre / Singer/songwriter,GPT,,
Bard,Бард,Genre / Singer/songwriter,GPT,,
Composer,Композитор,Genre / Singer/songwriter,GPT,,
Folk Poet,Фольклорный поэт,Genre / Singer/songwriter,GPT,,
Folk Singer,Фолк-певец,Genre / Singer/songwriter,GPT,,
Indie Artist,Инди-исполнитель,Genre / Singer/songwriter,GPT,,
Lyricist,Автор текстов песен,Genre / Singer/songwriter,GPT,,
Minstrel,Менестрель,Genre / Singer/songwriter,GPT,,
Poet-Musician,Поэт-музыкант,Genre / Singer/songwriter,GPT,,
Solo Artist,Соло-исполнитель,Genre / Singer/songwriter,GPT,,
Storyteller,Рассказчик (в песнях),Genre / Singer/songwriter,GPT,,
Troubadour,Трубадур,Genre / Singer/songwriter,GPT,,
Vocalist,Вокалист,Genre / Singer/songwriter,GPT,,
Singer/songwriter,Певец/автор песен,Genre / Singer/songwriter,Default,,
Blue-eyed Soul,Белый соул,Genre / Soul,GPT,,
Contemporary R&B,Современный R&B,Genre / Soul,GPT,,
Funk,Фанк,Genre / Soul,GPT,,
Gospel,Госпел,Genre / Soul,GPT,,
Motown Sound,Мотаун-саунд,Genre / Soul,GPT,,
Neo-Soul,Нео-соул,Genre / Soul,GPT,,
Quiet Storm,Квайет-сторм,Genre / Soul,GPT,,
R&B (Rhythm and Blues),Ритм-энд-блюз,Genre / Soul,GPT,,
Southern Soul,Южный соул,Genre / Soul,GPT,,
Soul,Душа,Genre / Soul,Default,,
Aged,Старинный,Genre / Vintage,GPT,,
Antique,Антикварный,Genre / Vintage,GPT,,
Classic,Классический,Genre / Vintage,GPT,,
Heritage,Исторический,Genre / Vintage,GPT,,
Heritage,Наследие,Genre / Vintage,GPT,,
Nostalgic,Ностальгический,Genre / Vintage,GPT,,
Old-fashioned,Старомодный,Genre / Vintage,GPT,,
Old-school,Олдскульный,Genre / Vintage,GPT,,
Retro,Ретро,Genre / Vintage,GPT,,
Retro-style,Ретро-стиль,Genre / Vintage,GPT,,
Rustic,Рустикальный,Genre / Vintage,GPT,,
Throwback,Ретроспективный,Genre / Vintage,GPT,,
Timeless,Вневременной,Genre / Vintage,GPT,,
Traditional,Традиционный,Genre / Vintage,GPT,,
Vintage,Винтаж,Genre / Vintage,Default,,
Civilization,Цивилизация,Genre / World,GPT,,
Cosmos,Космос,Genre / World,GPT,,
Domain,"Область, сфера",Genre / World,GPT,,
Earth,Земля,Genre / World,GPT,,
Existence,Существование,Genre / World,GPT,,
Globe,Глобус,Genre / World,GPT,,
Kingdom,Королевство,Genre / World,GPT,,
Planet,Планета,Genre / World,GPT,,
Realm,"Царство, мир",Genre / World,GPT,,
Society,Общество,Genre / World,GPT,,
Sphere,"Сфера, область",Genre / World,GPT,,
Universe,Вселенная,Genre / World,GPT,,
World,Мир,Genre / World,Default,,
Classical Guitar,Классическая гитара,Instrument / Acoustic guitar,GPT,,
Dreadnought Guitar,Дредноут-гитара,Instrument / Acoustic guitar,GPT,,
Electro-Acoustic Guitar,Электроакустическая гитара,Instrument / Acoustic guitar,GPT,,
Fingerstyle Guitar,Гитара для фингерстайла,Instrument / Acoustic guitar,GPT,,
Flamenco Guitar,Фламенко-гитара,Instrument / Acoustic guitar,GPT,,
Folk Guitar,Фолк-гитара,Instrument / Acoustic guitar,GPT,,
Jumbo Guitar,Джамбо-гитара,Instrument / Acoustic guitar,GPT,,
Nylon-String Guitar,Гитара с нейлоновыми струнами,Instrument / Acoustic guitar,GPT,,
Parlor Guitar,Парлор-гитара,Instrument / Acoustic guitar,GPT,,
Resonator Guitar,Резонаторная гитара,Instrument / Acoustic guitar,GPT,,
Steel-String Guitar,Гитара с металлическими струнами,Instrument / Acoustic guitar,GPT,,
Twelve-String Guitar,Двенадцатиструнная гитара,Instrument / Acoustic guitar,GPT,,
Acoustic guitar,Акустическая гитара,Instrument / Acoustic guitar,Default,,
5-String Bass,Пятиструнный бас,Instrument / Bass,GPT,,
6-String Bass,Шестиструнный бас,Instrument / Bass,GPT,,
Acoustic Bass,Акустический бас,Instrument / Bass,GPT,,
Bass Guitar,Бас-гитара,Instrument / Bass,GPT,,
Double Bass (Upright Bass),Контрабас,Instrument / Bass,GPT,,
Electric Bass,Электробас,Instrument / Bass,GPT,,
Fretless Bass,Безладовый бас,Instrument / Bass,GPT,,
Funk Bass,Фанк-бас,Instrument / Bass,GPT,,
Short Scale Bass,Бас с короткой мензурой,Instrument / Bass,GPT,,
Slap Bass,Слэп-бас,Instrument / Bass,GPT,,
Synth Bass,Синтезаторный бас,Instrument / Bass,GPT,,
Bass,Бас,Instrument / Bass,Default,,
A Clarinet,Ля кларнет,Instrument / Clarinet,GPT,,
Alto Clarinet,Альтовый кларнет,Instrument / Clarinet,GPT,,
Bass Clarinet,Бас-кларнет,Instrument / Clarinet,GPT,,
Bb Clarinet,Си-бемоль кларнет,Instrument / Clarinet,GPT,,
C Clarinet,До кларнет,Instrument / Clarinet,GPT,,
Contra-Alto Clarinet,Контральтовый кларнет,Instrument / Clarinet,GPT,,
Contrabass Clarinet,Контрабас-кларнет,Instrument / Clarinet,GPT,,
E♭ Clarinet,Малый ми-бемоль кларнет,Instrument / Clarinet,GPT,,
Clarinet,Кларнет,Instrument / Clarinet,Default,,
Bass Drum (Kick Drum),Бас-барабан (Кик),Instrument / Drums,GPT,,
China Cymbal,Китайская тарелка,Instrument / Drums,GPT,,
Crash Cymbal,Крэш-тарелка,Instrument / Drums,GPT,,
Cymbals,Тарелки,Instrument / Drums,GPT,,
Drum Kit,Ударная установка,Instrument / Drums,GPT,,
Electronic Drums,Электронные барабаны,Instrument / Drums,GPT,,
Floor Tom,Напольный том,Instrument / Drums,GPT,,
Hand Drums,Ручные барабаны,Instrument / Drums,GPT,,
Hi-Hat,Хай-хэт,Instrument / Drums,GPT,,
Ride Cymbal,Райд-тарелка,Instrument / Drums,GPT,,
Snare Drum,Малый барабан,Instrument / Drums,GPT,,
Splash Cymbal,Сплэш-тарелка,Instrument / Drums,GPT,,
Tom-Tom,Том-том,Instrument / Drums,GPT,,
Drums,Барабаны,Instrument / Drums,Default,,
7-String Guitar,Семиструнная гитара,Instrument / Electric guitar,GPT,,
8-String Guitar,Восьмиструнная гитара,Instrument / Electric guitar,GPT,,
Baritone Guitar,Баритоновая гитара,Instrument / Electric guitar,GPT,,
Electric Guitar,Электрогитара,Instrument / Electric guitar,GPT,,
Headless Guitar,Безголовая гитара,Instrument / Electric guitar,GPT,,
Hollow-Body Guitar,Акустическая электрогитара,Instrument / Electric guitar,GPT,,
Jazz Guitar,Джазовая гитара,Instrument / Electric guitar,GPT,,
Les Paul,Лес Пол,Instrument / Electric guitar,GPT,,
Multiscale Guitar,Мультигрифовая гитара,Instrument / Electric guitar,GPT,,
Semi-Hollow Guitar,Полуакустическая гитара,Instrument / Electric guitar,GPT,,
SG Guitar,SG-гитара,Instrument / Electric guitar,GPT,,
Solid-Body Guitar,Гитара с цельным корпусом,Instrument / Electric guitar,GPT,,
Stratocaster (Strat),Стратокастер (Страт),Instrument / Electric guitar,GPT,,
Superstrat,Суперстрат,Instrument / Electric guitar,GPT,,
Telecaster (Tele),Телекастер (Теле),Instrument / Electric guitar,GPT,,
Electric guitar,Электрогитара,Instrument / Electric guitar,Default,,
Alto Flute,Альтовая флейта,Instrument / Flute,GPT,,
Bamboo Flute,Бамбуковая флейта,Instrument / Flute,GPT,,
Bass Flute,Басовая флейта,Instrument / Flute,GPT,,
Concert Flute,Концертная флейта,Instrument / Flute,GPT,,
Contrabass Flute,Контрабас-флейта,Instrument / Flute,GPT,,
Dizi,Китайская флейта (дизи),Instrument / Flute,GPT,,
Glass Flute,Стеклянная флейта,Instrument / Flute,GPT,,
Native American Flute,Флейта коренных американцев,Instrument / Flute,GPT,,
Pan Flute (Panpipes),Пан-флейта,Instrument / Flute,GPT,,
Piccolo Flute,Пикколо-флейта,Instrument / Flute,GPT,,
Shakuhachi,Сякухати (японская флейта),Instrument / Flute,GPT,,
Tin Whistle,Ирландская свирель (тин-вистл),Instrument / Flute,GPT,,
Wooden Flute,Деревянная флейта,Instrument / Flute,GPT,,
Flute,Флейта,Instrument / Flute,Default,,
Brass Instruments,Медные духовые,Instrument / Horns,GPT,,
Cornet,Корнет,Instrument / Horns,GPT,,
Euphonium,Эуфониум,Instrument / Horns,GPT,,
Flugelhorn,Флюгельгорн,Instrument / Horns,GPT,,
French Horn,Валторна,Instrument / Horns,GPT,,
Sousaphone,Сузофон,Instrument / Horns,GPT,,
Trombone,Тромбон,Instrument / Horns,GPT,,
Trumpet,Труба,Instrument / Horns,GPT,,
Tuba,Туба,Instrument / Horns,GPT,,
Horns,Медные духовые инструменты,Instrument / Horns,Default,,
Clavinet,Клавинет,Instrument / Keyboard,GPT,,
Digital Piano,Цифровое пианино,Instrument / Keyboard,GPT,,
Electric Keyboard,Электронная клавиатура,Instrument / Keyboard,GPT,,
Grand Piano,Рояль,Instrument / Keyboard,GPT,,
Hammond Organ,Орган Хаммонд,Instrument / Keyboard,GPT,,
Harpsichord,Клавесин,Instrument / Keyboard,GPT,,
Mellotron,Меллотрон,Instrument / Keyboard,GPT,,
Organ,Орган,Instrument / Keyboard,GPT,,
Piano,Пианино,Instrument / Keyboard,GPT,,
Synthesizer,Синтезатор,Instrument / Keyboard,GPT,,
Upright Piano,Вертикальное пианино,Instrument / Keyboard,GPT,,
Workstation Keyboard,Музыкальная рабочая станция,Instrument / Keyboard,GPT,,
Keyboard,Клавиатура,Instrument / Keyboard,Default,,
Ballet Orchestra,Балетный оркестр,Instrument / Orchestral,GPT,,
Chamber Music,Камерная музыка,Instrument / Orchestral,GPT,,
Classical,Классический,Instrument / Orchestral,GPT,,
Concert Orchestra,Концертный оркестр,Instrument / Orchestral,GPT,,
Film Score Orchestra,Кинооркестр,Instrument / Orchestral,GPT,,
Opera Orchestra,Оперный оркестр,Instrument / Orchestral,GPT,,
Philharmonic,Филармонический,Instrument / Orchestral,GPT,,
Symphonic,Симфонический,Instrument / Orchestral,GPT,,
Orchestral,Оркестровый,Instrument / Orchestral,Default,,
Drums,Барабаны,Instrument / Percussion,GPT,,
Hand Percussion,Ручная перкуссия,Instrument / Percussion,GPT,,
Orchestral Percussion,Оркестровая перкуссия,Instrument / Percussion,GPT,,
Percussion,Перкуссия,Instrument / Percussion,GPT,,
Percussion Instruments,Ударные инструменты,Instrument / Percussion,GPT,,
Rhythm Section,Ритм-секция,Instrument / Percussion,GPT,,
World Percussion,Этническая перкуссия,Instrument / Percussion,GPT,,
Percussion,Ударные инструменты,Instrument / Percussion,Default,,
Baby Grand Piano,Малый рояль,Instrument / Piano,GPT,,
Concert Grand Piano,Концертный рояль,Instrument / Piano,GPT,,
Console Piano,Консольное пианино,Instrument / Piano,GPT,,
Digital Piano,Цифровое пианино,Instrument / Piano,GPT,,
Electric Piano,Электропианино,Instrument / Piano,GPT,,
Grand Piano,Рояль,Instrument / Piano,GPT,,
